winnerID,year,firstName,lastName,numberDogs,totalCompetitors,division,newRecord
1,2025,Joey,Chestnut,70.5,16,M,TRUE
26,2024,Patrick,Bertoletti,58,15,M,FALSE
1,2023,Joey,Chestnut,62,15,M,FALSE
2,2023,Miki,Sudo,39.5,14,F,FALSE
1,2022,Joey,Chestnut,63,16,M,FALSE
2,2022,Miki,Sudo,42,13,F,FALSE
1,2021,Joey,Chestnut,76,17,M,TRUE
3,2021,Michelle,Lesco,30.75,13,F,FALSE
1,2020,Joey,Chestnut,75,5,M,TRUE
2,2020,Miki,Sudo,48.5,5,F,FALSE
1,2019,Joey,Chestnut,71,17,M,FALSE
2,2019,Miki,Sudo,31,15,F,FALSE
1,2018,Joey,Chestnut,74,21,M,TRUE
2,2018,Miki,Sudo,37,18,F,FALSE
1,2017,Joey,Chestnut,72,21,M,TRUE
2,2017,Miki,Sudo,41,18,F,FALSE
1,2016,Joey,Chestnut,70,16,M,TRUE
2,2016,Miki,Sudo,38,15,F,FALSE
4,2015,Matthew,Stonie,62,16,M,FALSE
2,2015,Miki,Sudo,38,16,F,FALSE
1,2014,Joey,Chestnut,61,16,M,FALSE
2,2014,Miki,Sudo,34,13,F,FALSE
1,2013,Joey,Chestnut,69,16,M,TRUE
5,2013,Sonya,Thomas,36.75,9,F,FALSE
1,2012,Joey,Chestnut,68,15,M,FALSE
5,2012,Sonya,Thomas,45,14,F,FALSE
1,2011,Joey,Chestnut,62,16,M,FALSE
5,2011,Sonya,Thomas,40,9,F,FALSE
1,2010,Joey,Chestnut,54,16,,FALSE
1,2009,Joey,Chestnut,68,19,,TRUE
1,2008,Joey,Chestnut,59,21,,FALSE
1,2007,Joey,Chestnut,66,17,,TRUE
6,2006,Takeru,Kobayashi,53.75,,,TRUE
6,2005,Takeru,Kobayashi,49,16,,FALSE
6,2004,Takeru,Kobayashi,53.5,,,TRUE
6,2003,Takeru,Kobayashi,44.5,,,FALSE
6,2002,Takeru,Kobayashi,50,,,FALSE
6,2001,Takeru,Kobayashi,50,,,TRUE
7,2000,Kazutoyo,Arai,25,,,TRUE
8,1999,Steve,Keiner,21.5,,,FALSE
9,1998,Hirofumi,Nakajima,19,16,,FALSE
9,1997,Hirofumi,Nakajima,24.5,23,,TRUE
10,1996,Ed,Krachie,22,20,,TRUE
10,1995,Ed,Krachie,19.5,,,FALSE
11,1994,Mike,DeVito,20,,,FALSE
11,1993,Mike,DeVito,17,20,,FALSE
12,1992,Frank,Dellarosa,19,18,,FALSE
12,1991,Frank,Dellarosa,21,20,,TRUE
11,1990,Mike,DeVito,15,,,FALSE
13,1990,Jay,Green,15,,,FALSE
13,1989,Jay,Green,15.5,24,,FALSE
13,1988,Jay,Green,10,,,FALSE
14,1987,Don,Wolfman,13.5,,,FALSE
15,1986,Mark,Heller,15.5,24,,TRUE
16,1985,Oscar,Rodriguez,11.75,,,FALSE
17,1984,Birgit,Felden,9.5,24,,FALSE
18,1983,Emil,Gomez,10.5,11,,FALSE
19,1982,Steven,Abrams,11,,,FALSE
20,1981,Thomas,DeBerry,11,,,FALSE
21,1980,Joey,Baldini,9.75,,,FALSE
22,1980,Paul,Siederman,9.75,,,FALSE
23,1979,Luther,Frazier,10,,,FALSE
24,1979,Jim,Mattner,10,,,FALSE
25,1974,Roberto,Muriel,10,,,FALSE
